# MUI 3.8 symbol inventory -- the oracle for scripts/check-mui38.py.
# Source: mui38dev.lha (MUI 3.8 developer archive, (c) 1993-1997 Stefan Stuntz),
#         sha256 8d28b0262fa6f43a9a8e114da368a9309256bbc2f99fa1c23d8e4c105d565722
# Regenerate: python3 scripts/check-mui38.py --gen-inventory <mui38-SDK-root> > scripts/mui38-symbols.tsv
# Columns: name<TAB>version-introduced<TAB>access-flags  ('-' = not annotated)
# MUI 3.8 is muimaster.library 19; its headers annotate nothing above V18.
MUIA_Group_SameWidth	4	i..
MUIA_Group_Spacing	4	is.
MUIA_Group_VertSpacing	4	isg
MUIA_Height	4	..g
MUIA_HelpLine	4	isg
MUIA_HelpNode	4	isg
MUIA_HorizDisappear	11	isg
MUIA_HorizWeight	4	isg
MUIA_Image_FontMatch	4	i..
MUIA_Image_FontMatchHeight	4	i..
MUIA_Image_FontMatchWidth	4	i..
MUIA_Image_FreeHoriz	4	i..
MUIA_Image_FreeVert	4	i..
MUIA_Image_OldImage	4	i..
MUIA_Image_Spec	4	i..
MUIA_Image_State	4	is.
MUIA_InnerBottom	4	i.g
MUIA_InnerLeft	4	i.g
MUIA_InnerRight	4	i.g
MUIA_InnerTop	4	i.g
MUIA_InputMode	4	i..
MUIA_LeftEdge	4	..g
MUIA_Levelmeter_Label	11	isg
MUIA_List_Active	4	isg
MUIA_List_AdjustHeight	4	i..
MUIA_List_AdjustWidth	4	i..
MUIA_List_AutoVisible	11	isg
MUIA_List_CompareHook	4	is.
MUIA_List_ConstructHook	4	is.
MUIA_List_DestructHook	4	is.
MUIA_List_DisplayHook	4	is.
MUIA_List_DragSortable	11	isg
MUIA_List_DropMark	11	..g
MUIA_List_Entries	4	..g
MUIA_List_First	4	..g
MUIA_List_Format	4	isg
MUIA_List_InsertPosition	9	..g
MUIA_List_MinLineHeight	4	i..
MUIA_List_MultiTestHook	4	is.
MUIA_List_Pool	13	i..
MUIA_List_PoolPuddleSize	13	i..
MUIA_List_PoolThreshSize	13	i..
MUIA_List_Quiet	4	.s.
MUIA_List_ShowDropMarks	11	isg
MUIA_List_SourceArray	4	i..
MUIA_List_Title	6	isg
MUIA_List_Visible	4	..g
MUIA_Listview_ClickColumn	7	..g
MUIA_Listview_DefClickColumn	7	isg
MUIA_Listview_DoubleClick	4	i.g
MUIA_Listview_DragType	11	isg
MUIA_Listview_Input	4	i..
MUIA_Listview_List	4	i.g
MUIA_Listview_MultiSelect	7	i..
MUIA_Listview_ScrollerPos	10	i..
MUIA_Listview_SelectChange	4	..g
MUIA_MaxHeight	11	i..
MUIA_MaxWidth	11	i..
MUIA_Menu_Enabled	8	isg
MUIA_Menu_Title	8	isg
MUIA_Menuitem_Checked	8	isg
MUIA_Menuitem_Checkit	8	isg
MUIA_Menuitem_CommandString	16	isg
MUIA_Menuitem_Enabled	8	isg
MUIA_Menuitem_Exclude	8	isg
MUIA_Menuitem_Shortcut	8	isg
MUIA_Menuitem_Title	8	isg
MUIA_Menuitem_Toggle	8	isg
MUIA_Menuitem_Trigger	8	..g
MUIA_Menustrip_Enabled	8	isg
MUIA_NoNotify	7	.s.
MUIA_Numeric_CheckAllSizes	11	isg
MUIA_Numeric_Default	11	isg
MUIA_Numeric_Format	11	isg
MUIA_Numeric_Max	11	isg
MUIA_Numeric_Min	11	isg
MUIA_Numeric_RevLeftRight	11	isg
MUIA_Numeric_RevUpDown	11	isg
MUIA_Numeric_Reverse	11	isg
MUIA_Numeric_Value	11	isg
MUIA_ObjectID	11	isg
MUIA_Palette_Entries	6	i.g
MUIA_Palette_Groupable	6	isg
MUIA_Palette_Names	6	isg
MUIA_Parent	11	..g
MUIA_Penadjust_PSIMode	11	i..
MUIA_Pendisplay_Pen	13	..g
MUIA_Pendisplay_RGBcolor	11	isg
MUIA_Pendisplay_Reference	13	isg
MUIA_Pendisplay_Spec	11	isg
MUIA_Popasl_Active	7	..g
MUIA_Popasl_StartHook	7	isg
MUIA_Popasl_StopHook	7	isg
MUIA_Popasl_Type	7	i.g
MUIA_Poplist_Array	8	i..
